,Player_Id,Runs,Over_count,Econ_Rate,cluster,Player_Name,Bowling_Skill,DOB,Country
0,396,7.0,1.0,7.0,0,KS Williamson,Right-arm offbreak,8-Aug-90,New Zealand
1,193,58.0,8.333333333333334,6.96,0,C Nanda,Legbreak,29-Mar-79,India
2,441,34.0,4.166666666666667,8.16,0,SS Sarkar,Right-arm medium,15-Dec-84,India
3,340,38.0,6.166666666666667,6.16,0,GH Vihari,Right-arm offbreak,13-Oct-93,India
4,85,5.0,1.0,5.0,0,AM Rahane,Right-arm medium,6-Jun-88,India
5,343,68.0,7.5,9.07,0,B Laughlin,Right-arm fast-medium,3-Oct-82,Australia
6,198,260.0,31.333333333333332,8.3,0,AB McDonald,Right-arm fast-medium,5-Jun-81,Australia
7,242,199.0,27.5,7.24,0,CK Langeveldt,Right-arm fast-medium,17-Dec-74,England
8,344,135.0,16.166666666666668,8.35,0,AS Rajpoot,Right-arm medium,4-Dec-93,India
9,206,174.0,18.5,9.41,0,Jaskaran Singh,Right-arm medium,4-Sep-89,India
10,452,136.0,18.666666666666668,7.29,0,S Badree,Legbreak,9-Mar-81,West Indies
11,211,129.0,14.666666666666666,8.8,0,AA Jhunjhunwala,Right-arm offbreak,1-Dec-82,India
12,210,556.0,62.0,8.97,0,R McLaren,Right-arm medium-fast,9-Feb-83,South Africa
13,286,322.0,44.833333333333336,7.18,0,AG Murtaza,Slow left-arm orthodox,1-Jan-90,India
14,219,8.0,1.0,8.0,0,RS Gavaskar,Slow left-arm orthodox,20-Feb-76,India
15,217,58.0,7.833333333333333,7.4,0,JM Kemp,Right-arm fast-medium,2-Oct-77,South Africa
16,228,441.0,56.0,7.88,0,Bipul Sharma,Slow left-arm orthodox,28-Sep-83,India
17,220,225.0,31.833333333333332,7.07,0,SE Bond,Right-arm fast,7-Jun-75,New Zealand
18,465,42.0,5.5,7.64,0,DL Chahar,Right-arm medium,7-Aug-92,India
19,332,81.0,9.333333333333334,8.68,0,K Upadhyay,Right-arm medium,18-Jun-86,India
20,244,475.0,52.0,9.13,0,A Mithun,Right-arm medium,25-Oct-89,India
